ASS_NR;IFOPT
325;de:05315:15201
326;de:05315:15222
327;de:05315:15251
328;de:05315:15252
329;de:05315:15253
330;de:05315:15254
331;de:05315:15255
332;de:05315:15257
333;de:05315:13054
334;de:05315:15259
335;de:05315:15260
336;de:05315:15311
337;de:05315:15312
338;de:05315:15351
339;de:05315:15352
340;de:05315:15353
341;de:05315:15354
342;de:05315:15411
343;de:05315:15413
344;de:05382:54251
345;de:05315:15451
346;de:05315:15452
347;de:05315:15453
348;de:05315:15454
349;de:05315:15455
350;de:05315:15456
351;de:05315:15457
352;de:05315:15461
354;de:05315:12762
355;de:05315:15510
356;de:05315:15511
357;de:05315:15512
358;de:05315:15501
359;de:05315:15553
360;de:05315:15554
361;de:05315:15555
362;de:05315:15611
363;de:05315:15612
364;de:05315:15613
365;de:05315:15651
366;de:05315:15652
367;de:05315:15711
368;de:05315:15712
369;de:05315:15713
370;de:05315:15714
371;de:05314:66206
372;de:05315:16051
373;de:05315:16052
374;de:05315:16053
375;de:05315:16054
376;de:05315:16055
377;de:05315:16056
378;de:05315:16057
379;de:05315:16058
380;de:05315:16061
381;de:05315:16062
382;de:05315:16063
383;de:05315:16064
384;de:05315:16110
385;de:05315:16101
386;de:05315:16151
387;de:05315:16152
388;de:05315:16153
389;de:05315:16154
390;de:05315:16155
391;de:05315:16156
392;de:05315:16161
393;de:05315:16162
394;de:05315:16163
395;de:05315:16170
396;de:05315:16171
397;de:05315:16251
398;de:05315:16252
399;de:05315:16253
400;de:05315:16254
401;de:05315:16255
402;de:05315:16201
403;de:05315:16351
404;de:05315:16451
405;de:05315:16452
406;de:05315:16454
407;de:05315:16461
408;de:05315:16462
409;de:05315:16463
410;de:05315:16464
411;de:05315:16465
412;de:05315:16481
413;de:05315:16482
414;de:05315:16483
415;de:05315:16484
416;de:05315:16510
417;de:05315:16511
418;de:05315:16551
419;de:05315:16552
420;de:05315:16601
421;de:05315:16653
422;de:05315:16654
423;de:05315:16655
424;de:05315:16851
425;de:05315:16852
426;de:05315:16853
427;de:05315:16855
428;de:05315:16864
429;de:05315:16857
430;de:05315:16858
431;de:05315:16859
433;de:05315:18357
434;de:05315:16873
435;de:05315:16871
436;de:05315:11242
437;de:05315:17260
438;de:05315:17013
439;de:05315:17014
440;de:05315:17051
441;de:05315:17052
442;de:05315:17053
443;de:05315:17054
444;de:05315:17015
445;de:05315:17057
446;de:05315:17058
447;de:05315:17061
448;de:05315:17062
449;de:05315:17111
450;de:05315:17112
451;de:05315:17113
452;de:05315:17114
453;de:05315:17770
454;de:05315:17252
455;de:05315:17253
456;de:05315:17261
457;de:05315:17262
458;de:05315:17263
459;de:05315:17264
460;de:05315:17265
461;de:05315:17271
462;de:05315:17272
463;de:05315:17273
464;de:05315:17274
465;de:05315:17275
466;de:05315:17310
467;de:05315:17311
468;de:05315:17301
469;de:05315:17352
470;de:05315:17353
471;de:05315:17355
474;de:05315:17455
475;de:05315:17456
476;de:05315:17457
477;de:05315:17458
478;de:05315:17459
479;de:05315:17461
480;de:05315:17462
481;de:05315:17463
482;de:05315:17471
483;de:05315:16164
484;de:05315:17454
485;de:05315:13251
486;de:05315:17613
487;de:05315:17651
488;de:05315:17701
489;de:05315:17751
490;de:05315:17752
491;de:05315:17753
492;de:05315:17754
493;de:05315:17755
494;de:05315:17756
495;de:05315:17757
496;de:05315:18365
497;de:05315:17762
498;de:05315:17763
499;de:05315:17771
500;de:05315:17772
502;de:05315:17774
503;de:05315:17775
509;de:05315:17781
510;de:05315:17450
511;de:05315:17451
512;de:05315:18010
513;de:05315:18011
514;de:05315:18051
515;de:05315:18052
516;de:05315:18053
517;de:05315:18110
518;de:05315:18111
519;de:05315:18151
520;de:05315:18152
521;de:05315:18211
522;de:05315:18251
523;de:05315:18252
525;de:05315:18351
526;de:05315:18352
527;de:05315:18353
528;de:05315:18354
530;de:05315:18359
531;de:05315:18361
532;de:05315:18363
533;de:05315:18411
534;de:05315:18412
535;de:05315:18451
536;de:05315:18452
537;de:05315:18461
538;de:05315:18462
539;de:05315:18510
540;de:05315:18511
541;de:05315:18552
542;de:05315:18553
543;de:05315:18555
544;de:05315:18556
545;de:05315:18561
546;de:05315:18610
547;de:05315:18611
548;de:05315:18671
549;de:05315:18672
550;de:05315:18673
551;de:05315:18674
552;de:05315:18675
553;de:05315:18711
554;de:05315:18712
555;de:05315:18714
556;de:05315:18713
557;de:05315:18715
558;de:05315:18771
