EVA_NR;IFOPT;NAME
8000166;de:03156:41699;Herzberg(Harz)
8000167;de:03459:41892;Hesepe
8000168;de:03360:92160;Uelzen
8000169;de:03254:9922;Hildesheim Hbf
8000170;de:08421:1008;Ulm Hbf
8000171;de:05978:11218;Unna
8000172;de:06437:11220;Höchst(Odenw)
8000173;de:09479:9579;Wunsiedel-Holenbrunn
8000174;de:05166:22005;Viersen
8000175;de:10041:8000175;Völklingen
8000176;de:10045:8000176;Homburg(Saar)Hbf
8000177;de:08237:5001;Horb
8000178;de:05362:87303;Horrem
8000180;de:08119:7604;Waiblingen
8000181;de:01054:44660;Husum
8000182;de:08327:1242;Immendingen
8000183;de:09161:9000;Ingolstadt Hbf
8000185;de:03151:858;Gifhorn
8000186;de:05962:505;Iserlohn
8000187;de:06534:11200;Wallau(Lahn)
8000188;de:05358:4188;Jülich
8000189;de:07312:9035;Kaiserslautern Hbf
8000190;de:05166:23754;Kaldenkirchen
8000191;de:08212:90;Karlsruhe Hbf
8000192;de:05916:7590;Wanne-Eickel Hbf
8000193;de:06611:11373;Kassel Hbf
8000194;de:09762:950;Kaufbeuren
8000195;de:09181:503;Kaufering
8000196;de:05762:8130;Warburg(Westf)
8000197;de:09763:99;Kempten(Allgäu)Hbf
8000198;de:05113:9383;Kettwig
8000199;de:01002:49079;Kiel Hbf
8000201;de:09472:22900;Kirchenlaibach
8000203;de:08436:1159;Kißlegg
8000204;de:09363:2;Weiden(Oberpf)
8000205;de:05154:35739;Kleve
8000206;de:07111:10117;Koblenz Hbf
8000207;de:05315:11201;Köln Hbf
8000208;de:05315:14201;Köln-Ehrenfeld
8000209;de:05315:19201;Köln-Mülheim
8000210;de:06635:205466;Korbach
8000211;de:05114:21002;Krefeld Hbf
8000212;de:05114:21590;Krefeld-Oppum
8000213;de:03155:3532;Kreiensen
8000214;de:05970:10191;Kreuztal
8000215;de:05766:2200;Lage(Lippe)
8000216;de:07313:8304;Landau(Pfalz)Hbf
8000217;de:09261:64;Landshut(Bay)Hbf
8000218;de:06533:11118;Weilburg
8000220;de:09190:41571;Weilheim(Oberbay)
8000221;de:08128:13805;Lauda
8000222;de:06535:11203;Lauterbach(Hess)Nord
8000225;de:03457:54173;Leer(Ostfriesl)
8000226;de:03241:9808;Lehrte
8000227;de:05962:1001;Letmathe
8000228;de:09478:27000;Lichtenfels
8000229;de:06533:11025;Limburg(Lahn)
8000230;de:09776:1546;Lindau Hbf
8000231;de:08128:13412;Wertheim
8000233;de:05758:1741;Löhne(Westf)
8000234;de:06531:11085;Lollar
8000235;de:08118:7402;Ludwigsburg
8000236;de:07314:2080;Ludwigshafen(Rh)Hbf
8000237;de:01003:57819;Lübeck Hbf
8000238;de:03355:8000238;Lüneburg
8000239;de:05978:16135;Lünen Hbf
8000240;de:07315:9037;Mainz Hbf
8000241;de:06433:6999;Mainz-Bischofsheim
8000242;de:05170:36918;Wesel
8000243;de:06634:204401;Malsfeld
8000244;de:08222:2417;Mannheim Hbf
8000245;de:07143:4602;Westerburg
8000247;de:09479:7597;Marktredwitz
8000248;de:07137:11109;Mayen Ost
8000249;de:09764:3100;Memmingen
8000250;de:06414:6907;Wiesbaden Hbf
8000251;de:05954:5469;Witten Hbf
8000252;de:05770:4213;Minden(Westf)
8000253;de:05116:23007;Mönchengladbach Hbf
8000254;de:07334:1731;Wörth(Rhein)
8000255;de:03158:458;Wolfenbüttel
8000256;de:09186:8181;Rohrbach(Ilm)
8000257;de:07319:4415;Worms Hbf
8000258;de:09183:6530;Mühldorf(Oberbay)
8000259;de:05117:15225;Mülheim(Ruhr)Hbf
8000260;de:09663:177;Würzburg Hbf
8000261;de:09162:100;München Hbf
8000262;de:09162:5;München Ost
8000263;de:05515:41000;Münster(Westf)Hbf
8000264;de:08225:9180;Mosbach-Neckarelz
8000265;de:08226:2986;Neckargemünd
8000266;de:05124:11376;Wuppertal Hbf
8000267;de:09477:3524;Neuenmarkt-Wirsberg
8000268;de:03241:9884;Wunstorf
8000269;de:09371:19000;Neukirchen(b Sulzb)
8000271;de:01004:66023;Neumünster
8000272;de:10043:8000272;Neunkirchen(Saar)Hbf
8000273;de:14523:433;Muldenberg Floßplatz
8000274;de:05162:20055;Neuss Hbf
8000275;de:07316:3144;Neustadt(Weinstr)Hbf
8000276;de:07138:10107;Neuwied
8000277;de:06440:11145;Nidda
8000278;de:07141:11092;Niederlahnstein
8000279;de:03256:67639;Nienburg(Weser)
8000280;de:09779:6514;Nördlingen
8000282;de:03254:9926;Nordstemmen
8000283;de:03155:68704;Northeim(Han)
8000284;de:09564:510;Nürnberg Hbf
8000285;de:06438:4646;Rödermark-Ober Roden
8000286;de:05119:14022;Oberhausen Hbf
8000287;de:09475:8815;Oberkotzau
8000288;de:06414:11131;Wiesbaden-Biebrich
8000289;de:14524:1033;Zwickau Zentrum
8000290;de:08317:14506;Offenburg
8000291;de:03403:16750;Oldenburg(Oldb)
8000292;de:14524:1171;Zwickau Stadthalle
8000294;de:03404:71612;Osnabrück Hbf
8000295;de:08225:8200;Osterburken
8000297;de:05774:7000;Paderborn Hbf
8000298;de:09262:156;Passau Hbf
8000299;de:08231:50;Pforzheim Hbf
8000301;de:09271:4445;Plattling
8000302;de:08116:7802;Plochingen
8000304;de:03459:75000;Quakenbrück
8000306;de:08216:1844;Rastatt
8000307;de:05562:3581;Recklinghausen Hbf
8000308;de:07314:2059;Ludwigshafen(Rhein) BASF Mitte
8000309;de:09362:11090;Regensburg Hbf
8000310;de:07131:80107;Remagen
8000311;de:05120:12106;Remscheid-Lennep
8000312;de:01058:76697;Rendsburg
8000313;de:08115:7302;Renningen
8000314;de:08415:22006;Reutlingen Hbf
8000315;de:05754:6516;Rheda-Wiedenbrück
8000316;de:05566:60846;Rheine
8000317;de:05112:16450;Rheinhausen
8000318;de:05116:23023;Rheydt Hbf
8000319;de:10045:8000319;Rohrbach(Saar)
8000320;de:09163:9;Rosenheim
8000321;de:03357:78914;Rotenburg(Wümme)
8000322;de:08325:6584;Rottweil
8000323;de:10041:8000323;Saarbrücken Hbf
8000324;;Boppard Süd
8000325;de:03102:3284;Salzgitter-Ringelheim
8000326;de:07338:3430;Schifferstadt
8000327;de:07331:3935;Wahlheim
8000328;de:09472:23790;Schnabelwaid
8000329;de:08136:3077;Schwäbisch Gmünd
8000330;de:08127:20015;Schwäbisch Hall-Hessental
8000331;de:07137:10113;Andernach
8000332;de:07311:771;Frankenthal Hbf
8000333;de:08317:18620;Hausach
8000334;de:01059:47298;Jübek
8000335;de:03256:54304;Leese-Stolzenau
8000336;de:08436:1190;Leutkirch
8000337;de:06534:10011;Marburg(Lahn)
8000338;de:09778:2700;Mindelheim
8000339;de:08236:3090;Mühlacker
8000340;de:07331:5255;Freimersheim(Rheinh)
8000342;de:03241:5804;Weetzen
8000343;de:14523:779;Schöneck(Vogtl) Ferienpark
8000344;de:03151:1005;Wittingen
8000346;de:05554:60831;Borken(Westf)
8000347;de:06440:6504;Glauburg-Stockheim
8000348;de:05334:5766;Stolberg(Rheinl)Hbf
8000349;de:06413:2501;Offenbach(Main)Hbf
8000350;de:06535:11190;Alsfeld(Oberhess)
8000351;de:07131:80107;Altenkirchen(Westerwald)
8000352;de:03155:4766;Bad Gandersheim
8000353;de:08417:32109;Balingen(Württ)
8000354;de:03251:7512;Bassum
8000355;de:05362:88101;Bergheim(Erft)
8000356;de:08326:8324;Villingen-Schwenningen Eisstadion
8000357;de:10045:8000357;Bierbach
8000358;de:05911:5455;Bochum-Langendreer
8000359;de:07339:4849;Bodenheim
8000360;de:06431:416;Bürstadt
8000362;de:06432:8456;Dieburg
8000363;de:05374:48501;Dieringhausen
8000364;de:03153:5838;Vienenburg
8000365;de:09571:12430;Dombühl
8000366;de:08326:6592;Villingen(Schwarzw)
8000367;de:05112:16056;Duisburg-Meiderich Süd
8000368;de:06634:204729;Wabern(Bz Kassel)
8000369;de:08226:534;Eberbach
8000370;de:07211:2106;Ehrang
8000371;de:10045:8000371;Einöd(Saar)
8000372;de:07335:8170;Enkenbach
8000373;de:08125:5404;Eppingen
8000374;de:07332:840;Freinsheim
8000375;de:07339:8191;Gau Algesheim
8000376;de:07334:32637;Germersheim Bahnhof
8000377;de:08226:4109;Weinheim(Bergstr)
8000378;de:10043:8000378;Wemmetsweiler Rathaus
8000379;de:07231:40916;Wittlich Hbf
8000380;de:08136:1512;Goldshöfe
8000381;de:08212:1521;Grötzingen
8000382;de:05554:16870;Gronau(Westf)
8000383;de:06532:11014;Wetzlar
8000384;de:06432:11219;Groß-Umstadt Wiebelsbach
8000385;de:09577:16100;Gunzenhausen
8000386;de:06532:11003;Haiger
8000387;de:09776:1860;Hergatz
8000388;de:05158:18969;Hilden
8000389;de:08235:9070;Hochdorf(b Horb)
8000390;de:05162:23655;Hochneukirch
8000391;de:03255:43630;Holzminden
8000392;de:05978:11179;Holzwickede
8000393;de:08326:6768;Villingen-Schwenningen Hammerstatt
8000400;de:06531:11141;Hungen
8000402;de:07235:10502;Karthaus
8000404;de:05334:1086;Aachen West
8000406;de:05334:1646;Aachen-Rothe Erde
8000409;de:05166:21005;Kempen(Niederrhein)
8000410;de:09273:2222;Abensberg
8000412;de:08317:33013;Achern
8000413;de:03361:647;Achim
8000414;de:03459:682;Achmer
8000416;de:01058:722;Achterwehr
8000418;de:03152:761;Adelebsen
8000419;de:09176:9001;Adelschlag
8000420;de:09575:14680;Adelsdorf(Mittelfr)
8000423;de:08225:6777;Adelsheim Nord
8000424;de:08225:6398;Adelsheim Ost
8000427;de:07132:90473;Kirchen
8000430;de:05162:20626;Kaarster See
8000431;de:08125:2032;Affaltrach
8000432;de:05162:20624;Kaarst Mitte/Holzbüttgen
8000433;de:09182:90189;Agatharied
8000434;de:03359:8000434;Agathenburg
8000435;de:06534:11077;Kirchhain(Bz Kassel)
8000436;de:08315:6535;Aha
8000437;de:05554:16386;Ahaus
8000438;de:05162:20623;Kaarst IKEA
8000440;de:03354:82158;Schnega
8000441;de:05570:14679;Ahlen(Westf)
8000442;de:03458:1252;Ahlhorn
8000443;de:03241:9108;Ahlten
8000445;de:03360:85477;Soltendieck
8000446;de:01062:8000446;Ahrensburg
8000448;de:07131:80021;Ahrweiler
8000449;de:07131:80023;Ahrweiler Markt
8000451;de:09274:10540;Aich(Niederbay)
8000452;de:09771:2300;Aichach
8000453;de:08311:6707;Freiburg Messe/Universität
8000454;de:08436:1228;Aichstetten
8000456;de:08327:1773;Tuttlingen Nord
8000457;de:06633:209641;Ahnatal Casselbreite
8000459;de:09172:90022;Ainring
8000462;de:05515:46350;Münster-Albachten
8000463;de:08337:6576;Albbruck
8000464;de:01051:1627;Albersdorf
8000466;de:07337:8053;Albersweiler(Pfalz)
8000468;de:07331:8013;Albig
8000471;de:06532:11123;Albshausen
8000473;de:08417:32110;Albstadt-Ebingen
8000474;de:08417:32115;Albstadt-Laufen Ort
8000475;de:08417:32116;Albstadt-Lautlingen
8000477;de:05154:36113;Aldekerk
8000479;de:09675:27258;Kitzingen
8000480;de:01062:8000480;Ahrensburg-Gartenholz
8000481;de:08327:2006;Aldingen(b Spaichingen)
8000482;de:09774:2933;Aletshausen
8000483;de:03254:22801;Alfeld(Leine)
8000488;de:03254:9918;Algermissen
8000489;de:03241:9810;Aligse
8000491;de:07336:8548;Altenglan
8000492;de:06532:11026;Allendorf(Dillkr)
8000495;de:05382:53801;Alfter-Impekoven
8000496;de:08335:6549;Allensbach
8000498;de:09576:8350;Allersberg(Rothsee)
8000499;de:08425:3005;Allmendingen
8000500;de:05170:36653;Alpen
8000501;de:08237:3801;Alpirsbach
8000502;de:05334:1986;Alsdorf-Annapark
8000503;de:06431:270;Biblis
8000504;de:09574:7310;Altdorf West
8000505;de:07333:8174;Alsenz
8000506;de:07331:15;Alsheim
8000507;de:05334:1924;Alsdorf-Busch
8000508;de:08116:1800;Altbach
8000509;de:09574:7300;Altdorf(b Nürnberg)
8000510;de:05334:1916;Alsdorf Poststraße
8000511;de:09563:2314;Alte Veste
8000512;de:02000:70951;Hamburg Alte Wöhr
8000513;de:05962:2403;Altena(Westf)
8000514;de:07131:80291;Altenahr
8000515;de:09180:90009;Altenau(Bay)
8000517;de:07133:8176;Altenbamberg
8000518;de:05566:62012;Altenberge
8000520;de:06634:209652;Felsberg-Altenbrunslar
8000521;de:05334:1900;Alsdorf-Kellersberg
8000522;de:03458:44501;Hude
8000524;de:09177:3280;Altenerding
8000525;de:06631:11071;Altenfeld(Rhön)
8000526;de:01060:37985;Altengörs
8000527;de:05334:2012;Alsdorf-Mariadorf
8000530;de:06633:201485;Altenhasungen
8000532;de:05966:10238;Lennestadt-Altenhundem
8000533;de:09189:90003;Altenmarkt(Alz)
8000534;de:09577:16650;Muhr a See
8000537;de:05970:10101;Altenseelbach
8000538;de:06440:6501;Altenstadt(Hess)
8000539;de:09775:4401;Altenstadt(Iller)
8000540;de:09374:11154;Altenstadt(Waldnaab)
8000544;de:08315:6536;Altglashütten-Falkau
8000545;de:09179:6530;Althegnenberg
8000546;de:06432:11260;Altheim(Hess)
8000547;de:07336:8034;Lauterecken-Grumbach
8000553;de:06634:204476;Altmorschen
8000555;de:09171:10001;Altötting
8000556;de:09174:6950;Altomünster
8000558;de:07331:4755;Alzey Süd
8000559;de:08436:8246;Altshausen
8000561;de:09780:897;Altstädten(Allgäu)
8000562;de:08436:32000;Alttann
8000563;de:10044:8000563;Lebach
8000566;de:09361:19500;Amberg
8000569;de:05515:47600;Münster-Amelsbüren
8000571;de:05974:11593;Lippstadt
8000575;de:09676:2010;Amorbach
8000576;de:09183:80492;Ampfing
8000577;de:08425:2551;Amstetten(Württ)
8000578;de:03241:3411;Hannover Anderten-Misburg
8000579;de:05111:18372;Angermund
8000580;de:06535:11179;Angersbach
8000582;de:07337:8054;Annweiler am Trifels
8000584;de:05166:21676;Anrath
8000585;de:07133:8180;Langenlonsheim
8000586;de:03361:53589;Langwedel
8000588;de:09573:5550;Anwanden
8000589;de:06534:11078;Anzefahr
8000590;de:09277:80000;Anzenkirchen
8000595;de:05558:17104;Nottuln-Appelhülsen
8000596;de:08317:14120;Appenweier
8000597;de:05978:32834;Ardey
8000599;de:06533:11114;Arfurt(Lahn)
8000601;de:05366:73301;Bad Münstereifel-Arloff
8000602;de:07331:8001;Armsheim
8000603;de:09174:6910;Arnbach
8000605;de:05958:60854;Arnsberg(Westf)
8000606;de:09372:1009;Arnschwang
8000609;de:06635:205902;Bad Arolsen
8000611;de:05370:6208;Arsbeck
8000613;de:09479:9590;Arzberg(Oberfr)
8000615;de:06414:6903;Mainz-Kastel
8000618;de:09661:99084;Aschaffenburg Hochschule
8000619;de:09661:1080;Aschaffenburg Süd
8000621;de:09187:40709;Aschau(Chiemgau)
8000623;de:05558:16014;Ascheberg(Westf)
8000624;de:03454:7918;Aschendorf
8000625;de:07332:1003;Asselheim
8000627;de:03353:57499;Ashausen
8000630;de:08118:7400;Asperg
8000631;de:08222:2331;Neu-Edingen/Friedrichsfeld
8000632;de:06440:11162;Assenheim(Oberhess)
8000633;de:06532:11013;Aßlar
8000634;de:09175:4202;Aßling(Oberbay)
8000635;de:06439:11035;Assmannshausen
8000638;de:05966:10250;Attendorn
8000640;de:09676:1254;Miltenberg
8000643;de:08216:32830;Au im Murgtal
8000644;de:05170:36308;Moers
8000647;de:05970:10252;Aue-Wingeshausen
8000649;de:08225:8206;Auerbach(b Mosbach, Baden)
8000652;de:07333:5566;Kirchheimbolanden
8000653;de:09177:3270;Aufhausen(b Erding)
8000655;de:08136:4244;Aufhausen(Württ)
8000657;de:08315:6642;Auggen
8000658;de:09761:111;Augsburg Haunstetterstraße
8000659;de:09761:600;Augsburg Messe
8000660;de:09761:120;Augsburg Morellstr.
8000661;de:09761:200;Augsburg-Hochzoll
8000662;de:09761:400;Augsburg-Oberhausen
8000663;de:07331:2862;Monsheim
8000664;de:03451:3761;Augustfehn
8000667;de:07143:3700;Montabaur
8000668;de:06533:11115;Aumenau
8000669;de:01053:25953;Aumühle
8000671;de:06414:11129;Auringen-Medenbach
8000672;de:09276:80503;Außenried
8000674;de:07232:20130;Auw an der Kyll
8000675;de:09184:2260;Aying
8000677;de:05370:3896;Hückelhoven-Baal
8000678;de:09186:9024;Baar-Ebenhausen
8000681;de:08125:6232;Babstadt
8000683;de:07339:32623;Bacharach
8000685;de:09174:6870;Bachern
8000686;de:08315:6659;Bachheim
8000687;de:05117:15012;Mülheim(Ruhr)Styrum
8000688;de:09274:3500;Neufahrn(Niederbay)
8000689;de:09273:80493;Bad Abbach
8000690;de:09187:40851;Bad Aibling
8000691;de:07337:4561;Bad Bergzabern
8000694;de:07131:80342;Bad Breisig
8000696;de:09187:90019;Bad Aibling Kurpark
8000697;de:05762:7177;Bad Driburg(Westf)
8000698;de:07332:116;Bad Dürkheim
8000701;de:07141:11015;Bad Ems
8000702;de:07141:11016;Bad Ems West
8000704;de:08125:1120;Bad Friedrichshall-Kochendorf
8000706;de:08125:4595;Bad Wimpfen Im Tal
8000707;de:08317:14460;Bad Griesbach(Schwarzwald)
8000708;de:07332:144;Bad Dürkheim-Trift
8000710;de:09275:4038;Bad Höhenstadt
8000711;de:07138:10105;Bad Hönningen
8000712;de:06434:4399;Bad Homburg
8000713;de:05382:56101;Bad Honnef(Rhein)
8000714;de:09672:27061;Bad Kissingen
8000715;de:06437:11221;Bad König
8000716;de:09180:10097;Bad Kohlgrub
8000717;de:09180:10098;Bad Kohlgrub Kurhaus
8000718;de:08315:6501;Bad Krozingen
8000720;de:09183:6050;Neumarkt-St Veit
8000721;de:08235:4150;Bad Liebenzell
8000724;de:08128:12005;Bad Mergentheim
8000725;de:03252:1030;Bad Münder(Deister)
8000726;de:07133:8177;Bad Münster a Stein
8000727;de:05366:73101;Bad Münstereifel
8000728;de:06440:11135;Bad Nauheim
8000729;de:07131:80041;Bad Neuenahr
8000730;de:09673:27001;Bad Neustadt(Saale)
8000731;de:08416:2505;Bad Niedernau
8000732;de:05770:1033;Bad Oeynhausen
8000733;de:05770:1028;Bad Oeynhausen Süd
8000734;de:08317:14450;Bad Peterstal
8000735;de:03252:6000;Bad Pyrmont
8000736;de:08125:4615;Bad Rappenau
8000737;de:09172:42164;Bad Reichenhall
8000738;de:09172:90196;Bad Reichenhall-Kirchberg
8000739;de:03156:5811;Bad Sachsa
8000740;de:03254:21756;Bad Salzdetfurth
8000741;de:06440:11161;Bad Salzhausen
8000742;de:07140:11019;Boppard-Bad Salzig
8000743;de:06631:11194;Bad Salzschlirf
8000744;de:05766:2223;Bad Salzuflen
8000745;de:05974:60002;Bad Sassendorf
8000746;de:08426:6043;Bad Schussenried
8000749;de:01055:6090;Bad Schwartau
8000750;de:08416:4456;Bad Sebastiansweiler-Belsen
8000751;de:01060:37903;Bad Segeberg
8000752;de:06436:4299;Bad Soden(Taunus)
8000753;de:06636:206569;Bad Sooden-Allendorf
8000754;de:01054:6219;Bad St Peter Süd
8000755;de:01054:6220;Bad St Peter-Ording
8000756;de:09475:8924;Bad Steben
8000757;de:08235:7190;Bad Teinach-Neubulach
8000758;de:09173:4505;Bad Tölz
8000759;de:03254:22197;Bad Salzdetfurth Solebad
8000760;de:06440:2402;Bad Vilbel
8000761;de:06440:2401;Bad Vilbel Süd
8000763;de:08436:1145;Bad Waldsee
8000764;de:06635:205080;Bad Wildungen
8000765;de:08125:2002;Bad Wimpfen
8000766;de:08125:5606;Bad Wimpfen-Hohenstadt
8000767;de:09575:14100;Bad Windsheim
8000768;de:09778:1430;Bad Wörishofen
8000769;de:08436:98;Bad Wurzach
8000770;de:03451:6417;Bad Zwischenahn
8000771;de:08211:35110;Baden-Baden Haueneberstein
8000772;de:03158:3158;Baddeckenstedt
8000773;de:03361:6466;Baden(Verden)
8000774;de:08211:1847;Baden-Baden
8000775;de:08211:35113;Baden-Baden Rebland
8000777;de:08125:1630;Bad Rappenau Kurpark
