ASS_NR,VRS_NR,GlobalID/IFOPT,H_Name,H_Provgem,H_ProvOrt,H_KOORX,H_KOORY
1,11110,de:05315:11110,Heumarkt,K?ln,Innenstadt,2567525,5644934
2,11111,de:05315:11111,Neumarkt,K?ln,Innenstadt,2566659,5644930
3,11112,de:05315:11112,Poststr.,K?ln,Innenstadt,2566833,5644428
4,11113,de:05315:11113,Mauritiuskirche,K?ln,Innenstadt,2566478,5644750
5,11150,de:05315:11150,G?rzenichstr.,K?ln,Innenstadt,2567383,5644994
6,11114,de:05315:11114,Rathaus,K?ln,Innenstadt,2567500,5645241
7,11209,de:05315:11209,Appellhofplatz,K?ln,Innenstadt,2566847,5645400
8,11201,de:05315:11201,Dom / Hbf,K?ln,Innenstadt,2567415,5645741
9,11212,de:05315:11212,Breslauer Platz/Hbf,K?ln,Innenstadt,2567417,5645895
10,18232,de:05315:18232,Kuthstr./Vingst,K?ln,Vingst,2571885,5644720
11,11311,de:05315:11311,Severinstr.,K?ln,Innenstadt,2567314,5644194
12,11352,de:05315:11352,Waidmarkt,K?ln,Innenstadt,2567266,5644559
13,11354,de:05315:11354,Rosenstr.,K?ln,Innenstadt,2567447,5643917
14,14549,de:05315:14549,Silberm?wenweg,K?ln,Vogelsang,2561622,5648263
15,11355,de:05315:11355,Severinskirche,K?ln,Innenstadt,2567555,5643548
16,18233,de:05315:18233,Nobelstr.,K?ln,Vingst,2566694,5500098
17,11410,de:05315:11410,Ubierring,K?ln,Innenstadt,2567930,5643459
18,11411,de:05315:11411,Chlodwigplatz,K?ln,Innenstadt,2567572,5643320
19,11412,de:05315:11412,Ulrepforte,K?ln,Innenstadt,2566986,5643622
20,11413,de:05315:11413,Bonner Wall,K?ln,Innenstadt,2567622,5642790
21,11509,de:05315:11509,Eifelplatz,K?ln,Innenstadt,2566383,5643537
22,11510,de:05315:11510,Eifelstr.,K?ln,Innenstadt,2566532,5643914
23,11511,de:05315:11511,Barbarossaplatz,K?ln,Innenstadt,2566321,5644126
24,11512,de:05315:11512,Z?lpicher Platz,K?ln,Innenstadt,2566178,5644409
25,11513,de:05315:11513,Dasselstr./Bf S?d,K?ln,Innenstadt,2565847,5644099
26,11514,de:05315:11514,Eifelwall,K?ln,Innenstadt,2565927,5643698
27,11610,de:05315:11610,Rudolfplatz,K?ln,Innenstadt,2566049,5644986
28,11611,de:05315:11611,Moltkestr.,K?ln,Innenstadt,2565552,5644889
29,11651,de:05315:11651,Roonstr.,K?ln,Innenstadt,2565727,5644611
30,11710,de:05315:11710,Friesenplatz,K?ln,Innenstadt,2566111,5645453
31,11701,de:05315:11701,Hans-B?ckler-Platz/Bf West,K?ln,Innenstadt,2565658,5645707
32,11712,de:05315:11712,Christophstr./Mediapark,K?ln,Innenstadt,2566278,5645919
33,16480,de:05315:16480,Gewerbegebiet Feldkassel,K?ln,Langel linksrheinisch,2564237,5656480
34,11809,de:05315:11809,Reichenspergerplatz,K?ln,Innenstadt,2567801,5646976
35,11810,de:05315:11810,Ebertplatz,K?ln,Innenstadt,2567419,5646592
36,11801,de:05315:11801,Hansaring,K?ln,Innenstadt,2566971,5646407
37,11851,de:05315:11851,Worringer Str.,K?ln,Innenstadt,2568035,5647129
38,11852,de:05315:11852,Krefelder Wall,K?ln,Innenstadt,2566822,5646988
39,11909,de:05315:11909,Deutzer Freiheit,K?ln,Deutz,2568252,5645050
40,11910,de:05315:11910,Suevenstr.,K?ln,Deutz,2568700,5644654
41,11901,de:05315:11901,Bf Deutz / Messe  LANXESS arena,K?ln,Deutz,2568740,5645389
42,11912,de:05315:11912,Koelnmesse,K?ln,Deutz,2569037,5645751
43,61714,de:05314:61714,Propsthof Nord,Bonn,Innenstadt,2575822,5623173
44,11914,de:05315:11914,Deutz Technische Hochschule,K?ln,Deutz,2569362,5645043
45,11916,de:05315:11916,Severinsbr?cke,K?ln,Deutz,2568410,5644359
46,11917,de:05315:11917,Drehbr?cke,K?ln,Deutz,2568589,5644142
47,11918,de:05315:11918,Poller Kirchweg,K?ln,Deutz,2568950,5643612
48,11951,de:05315:11951,Betzdorfer Str.,K?ln,Deutz,2569708,5644984
50,12740,de:05315:12740,Rotdornstr.,K?ln,Rodenkirchen,2570256,5639417
51,11953,de:05315:11953,Im Rheinpark,K?ln,Deutz,2568565,5646073
52,12011,de:05315:12011,Pohligstr.,K?ln,Zollstock,2566263,5642829
53,12012,de:05315:12012,Herthastr.,K?ln,Zollstock,2566208,5642382
54,12013,de:05315:12013,Gottesweg,K?ln,Zollstock,2566266,5642098
56,12015,de:05315:12015,Zollstockg?rtel,K?ln,Zollstock,2566312,5641530
57,12016,de:05315:12016,Zollstock S?dfriedhof,K?ln,Zollstock,2566459,5641053
58,12051,de:05315:12051,Zollstocksweg,K?ln,Zollstock,2566544,5641919
59,12052,de:05315:12052,Roisdorfer Str.,K?ln,Zollstock,2566542,5641534
60,12053,de:05315:12053,Kendenicher Str.,K?ln,Zollstock,2565937,5641149
61,12054,de:05315:12054,Oberer Komarweg,K?ln,Zollstock,2565586,5640783
62,12055,de:05315:12055,Br?ggener Str.,K?ln,Zollstock,2566106,5641515
63,12061,de:05315:12061,Bernkasteler Str.,K?ln,Zollstock,2565957,5641666
64,12151,de:05315:12151,Rheinsteinstr.,K?ln,Raderberg,2567543,5641769
65,12211,de:05315:12211,Sch?nhauser Str.,K?ln,Bayenthal,2568406,5642540
66,12212,de:05315:12212,Marktstra?e,K?ln,Bayenthal,2567709,5642305
67,12222,de:05315:12222,Koblenzer Str.,K?ln,Bayenthal,2568064,5642358
68,12254,de:05315:12254,Tacitusstr.,K?ln,Bayenthal,2568233,5642041
69,12251,de:05315:12251,Mannsfeld,K?ln,Bayenthal,2567745,5642136
70,12252,de:05315:12252,C?sarstr.,K?ln,Bayenthal,2567835,5641663
71,12351,de:05315:12351,Leichweg,K?ln,Raderthal,2566830,5641419
72,12352,de:05315:12352,Liblarer Str.,K?ln,Raderthal,2566992,5640996
73,12353,de:05315:12353,Heeresamt,K?ln,Raderthal,2566974,5640671
74,12361,de:05315:12361,Br?hler Str./G?rtel,K?ln,Raderthal,2567343,5641381
75,12371,de:05315:12371,Wasserwerk,K?ln,Raderthal,2568048,5639703
76,12410,de:05315:12410,Bayenthalg?rtel,K?ln,Marienburg,2568816,5641750
77,54235,de:05382:54235,Ranzel Schule,Niederkassel,Ranzel,2572659,5633430
78,12421,de:05315:12421,Goltsteinstr./G?rtel,K?ln,Marienburg,2568375,5641500
79,12422,de:05315:12422,Marienburger Str.,K?ln,Marienburg,2568537,5641111
80,12423,de:05315:12423,Marienburg S?dpark,K?ln,Marienburg,2568704,5640782
81,12452,de:05315:12452,Bonner Str./G?rtel,K?ln,Marienburg,2567883,5641419
82,12453,de:05315:12453,Gaedestr.,K?ln,Marienburg,2567958,5641059
83,12454,de:05315:12454,Leyboldstr.,K?ln,Marienburg,2568014,5640727
84,12455,de:05315:12455,Arnoldsh?he,K?ln,Marienburg,2568063,5640434
85,12551,de:05315:12551,Am K?lnberg,K?ln,Meschenich,2565374,5636808
86,12552,de:05315:12552,Meschenich Kirche,K?ln,Meschenich,2565312,5636519
87,12553,de:05315:12553,Engeldorfer Str.,K?ln,Meschenich,2565422,5636375
88,12554,de:05315:12554,Frankenstr.,K?ln,Meschenich,2565385,5635737
89,12555,de:05315:12555,Engeldorfer Hof,K?ln,Meschenich,2564905,5635792
90,12557,de:05315:12557,Kettelerstr.,K?ln,Meschenich,2565666,5636600
91,13550,de:05315:13550,Josef-Lammerting-Allee,K?ln,M?ngersdorf,2562409,5645970
92,12561,de:05315:12561,H?ningen Rondorfer Weg,K?ln,H?ningen,2565978,5638738
93,12562,de:05315:12562,H?ningen Siedlung,K?ln,H?ningen,2566154,5639131
94,12651,de:05315:12651,Bonner Landstr.,K?ln,Hochkirchen,2568285,5639089
95,12652,de:05315:12652,Hochkirchen,K?ln,Hochkirchen,2567813,5638629
96,12653,de:05315:12653,Lerchenweg,K?ln,Hochkirchen,2567666,5638476
97,12654,de:05315:12654,Rondorf,K?ln,Rondorf,2567249,5638050
98,12655,de:05315:12655,B?dinger Str.,K?ln,Rondorf,2566970,5638104
99,12656,de:05315:12656,Westerwaldstr.,K?ln,Rondorf,2566688,5637851
100,12741,de:05315:12741,Friedhof Rodenkirchen,K?ln,Rodenkirchen,2570628,5638687
101,12658,de:05315:12658,Am Steinneuerhof,K?ln,Rondorf,2566099,5638334
102,12659,de:05315:12659,Friedhof Steinneuerhof,K?ln,Rondorf,2566028,5637987
103,12661,de:05315:12661,Kirschbaumweg,K?ln,Hahnwald,2569972,5637966
104,12662,de:05315:12662,Mannesmannstr.,K?ln,Hahnwald,2569824,5637518
105,12665,de:05315:12665,Hahnwald,K?ln,Hahnwald,2568886,5637644
106,12711,de:05315:12711,Rodenkirchen Bf,K?ln,Rodenkirchen,2569705,5639978
107,12712,de:05315:12712,Siegstr. (Stadtbahn),K?ln,Rodenkirchen,2570039,5639138
108,12713,de:05315:12713,Michaelshoven,K?ln,Rodenkirchen,2570350,5638356
109,12751,de:05315:12751,Maternusplatz,K?ln,Rodenkirchen,2569958,5640186
110,12752,de:05315:12752,Frankstr.,K?ln,Rodenkirchen,2569674,5640397
111,12753,de:05315:12753,Rodenkirchen Rathaus,K?ln,Rodenkirchen,2570163,5640076
112,12754,de:05315:12754,Grimmelshausenstr.,K?ln,Rodenkirchen,2570562,5639940
113,54234,de:05382:54234,L?lsdorf Hallenbad,Niederkassel,L?lsdorf,2571874,5633241
114,12756,de:05315:12756,Uferstr.,K?ln,Rodenkirchen,2571091,5640091
115,12757,de:05315:12757,Campingplatz,K?ln,Rodenkirchen,2572023,5639995
116,12761,de:05315:12761,Siegfriedstr.,K?ln,Rodenkirchen,2570259,5639645
117,12763,de:05315:12763,Gr?ng?rtelstr.,K?ln,Rodenkirchen,2570802,5639308
118,12764,de:05315:12764,Richard-Wagner-Str.,K?ln,Rodenkirchen,2571219,5639061
119,12765,de:05315:12765,Adolf-Menzel-Str.,K?ln,Rodenkirchen,2571540,5638834
120,12771,de:05315:12771,Konrad-Adenauer-Str.,K?ln,Rodenkirchen,2569424,5639921
121,12772,de:05315:12772,Schwabenstr.,K?ln,Rodenkirchen,2569680,5639558
122,12773,de:05315:12773,Schillingsrotter Str.,K?ln,Rodenkirchen,2569691,5639263
123,12774,de:05315:12774,Am Neuen Forst,K?ln,Rodenkirchen,2570075,5638264
124,12811,de:05315:12811,S?rth Bf,K?ln,S?rth,2570687,5637008
125,12851,de:05315:12851,Wesselinger Str.,K?ln,S?rth,2570770,5636596
126,12852,de:05315:12852,Marktplatz S?rth,K?ln,S?rth,2570969,5636801
127,12853,de:05315:12853,K?lnstr.,K?ln,S?rth,2571269,5637081
128,12854,de:05315:12854,Ernst-Volland-Str.,K?ln,S?rth,2571679,5637430
129,12855,de:05315:12855,Hammerschmidtstr.,K?ln,S?rth,2571905,5637778
130,12856,de:05315:12856,Ritterstr.,K?ln,Wei?,2572145,5637987
131,12857,de:05315:12857,Wei?er Hauptstr.,K?ln,Wei?,2572495,5638301
132,12858,de:05315:12858,Wei? Friedhof,K?ln,Wei?,2572313,5638497
133,12859,de:05315:12859,Zum Hedelsberg,K?ln,Wei?,2571907,5638686
134,12911,de:05315:12911,Godorf Bf,K?ln,Godorf,2568958,5635140
135,12950,de:05315:12950,Pierstr.,K?ln,Godorf,2568760,5635256
136,12951,de:05315:12951,Otto-Hahn-Str.,K?ln,Godorf,2568673,5636320
137,12952,de:05315:12952,Bunsenstr.,K?ln,Godorf,2568714,5635812
138,12953,de:05315:12953,Friedhof Godorf,K?ln,Godorf,2568427,5635451
139,12954,de:05315:12954,Immendorf Siedlung,K?ln,Immendorf,2568034,5635830
140,12955,de:05315:12955,Immendorf,K?ln,Immendorf,2567603,5636346
141,12956,de:05315:12956,Zaunhof,K?ln,Immendorf,2567284,5636542
142,13706,de:05315:13706,Mohnweg,K?ln,Junkersdorf,2560168,5645094
143,13011,de:05315:13011,Universit?tsstr.,K?ln,Lindenthal,2565039,5645006
144,13012,de:05315:13012,Melaten,K?ln,Lindenthal,2564481,5645011
145,13051,de:05315:13051,Hildegardis-Krankenhaus,K?ln,Lindenthal,2564920,5644326
146,13052,de:05315:13052,Geibelstr.,K?ln,Lindenthal,2564614,5644035
147,13053,de:05315:13053,Leiblplatz,K?ln,Lindenthal,2564433,5643810
148,13056,de:05315:13056,Karl-Schwering-Platz,K?ln,Lindenthal,2564503,5644368
149,13057,de:05315:13057,Theresienstr.,K?ln,Lindenthal,2564241,5644202
150,13111,de:05315:13111,Wei?hausstr.,K?ln,S?lz,2565684,5643330
151,13112,de:05315:13112,Arnulfstr.,K?ln,S?lz,2565487,5643019
152,13113,de:05315:13113,S?lzburgstr.,K?ln,Klettenberg,2565269,5642682
153,13121,de:05315:13121,Universit?t,K?ln,S?lz,2565496,5643806
154,13122,de:05315:13122,Weyertal,K?ln,S?lz,2565220,5643604
155,13123,de:05315:13123,Lindenburg (Universit?tskliniken),K?ln,S?lz,2564850,5643400
156,13131,de:05315:13131,Konradstr.,K?ln,S?lz,2565263,5643174
157,13152,de:05315:13152,S?lzburgstr./Berrenrather Str.,K?ln,S?lz,2564999,5642826
158,54233,de:05382:54233,L?lsdorf Kirche,Niederkassel,L?lsdorf,2571341,5633165
159,13161,de:05315:13161,Rh?ndorfer Str.,K?ln,Klettenberg,2565628,5642474
160,13211,de:05315:13211,S?lzg?rtel,K?ln,Klettenberg,2565022,5642304
161,66101,de:05314:66101,Bad Godesberg Bf,Bonn,Bad Godesberg,2582010,5617104
162,13213,de:05315:13213,Berrenrather Str./G?rtel,K?ln,S?lz,2564767,5642555
163,13214,de:05315:13214,Euskirchener Str.,K?ln,S?lz,2564500,5642929
164,13215,de:05315:13215,Z?lpicher Str./G?rtel,K?ln,S?lz,2564403,5643184
165,13216,de:05315:13216,Mommsenstr.,K?ln,S?lz,2564058,5643050
166,13217,de:05315:13217,S?lz Hermeskeiler Platz,K?ln,S?lz,2563846,5642825
167,13221,de:05315:13221,Klettenbergpark,K?ln,Klettenberg,2564705,5641801
168,13252,de:05315:13252,Siebengebirgsallee,K?ln,Klettenberg,2565366,5642039
169,13310,de:05315:13310,W?llnerstr.,K?ln,Lindenthal,2563874,5644386
170,13311,de:05315:13311,D?rener Str./G?rtel,K?ln,Lindenthal,2563938,5644004
171,13312,de:05315:13312,Kitschburger Str.,K?ln,Lindenthal,2563428,5643837
172,13313,de:05315:13313,Brahmsstr.,K?ln,Lindenthal,2563197,5643796
173,13321,de:05315:13321,Gleueler Str./G?rtel,K?ln,Lindenthal,2564186,5643564
174,13353,de:05315:13353,Hohenlind,K?ln,Lindenthal,2563134,5643628
175,13355,de:05315:13355,Krieler Str.,K?ln,Lindenthal,2563846,5643318
176,13356,de:05315:13356,Koppensteinstr.,K?ln,Lindenthal,2563511,5642985
177,13357,de:05315:13357,Deckstein,K?ln,Lindenthal,2563334,5642779
178,13411,de:05315:13411,Aachener Str./G?rtel,K?ln,Braunsfeld,2563907,5645032
179,13412,de:05315:13412,Maarweg,K?ln,Braunsfeld,2563261,5645044
180,13413,de:05315:13413,Clarenbachstift,K?ln,Braunsfeld,2562906,5645055
181,13414,de:05315:13414,Eupener Str.,K?ln,Braunsfeld,2562550,5645066
182,13421,de:05315:13421,Oskar-J?ger-Str./G?rtel,K?ln,Braunsfeld,2564074,5645352
183,13461,de:05315:13461,Stolberger Str./Eupener Str.,K?ln,Braunsfeld,2562512,5645605
184,13462,de:05315:13462,Stolberger Str./Maarweg,K?ln,Braunsfeld,2563125,5645581
185,13501,de:05315:13501,M?ngersdorf S-Bahn Technologiepark,K?ln,M?ngersdorf,2562475,5646303
186,13511,de:05315:13511,Alter Milit?rring,K?ln,M?ngersdorf,2562022,5645086
187,13512,de:05315:13512,Rheinenergie-Stadion,K?ln,M?ngersdorf,2561519,5645069
188,13551,de:05315:13551,Wendelinstr.,K?ln,M?ngersdorf,2561906,5645368
189,13552,de:05315:13552,Herrigergasse,K?ln,M?ngersdorf,2561644,5645518
190,13553,de:05315:13553,K?mpchensweg,K?ln,M?ngersdorf,2561408,5645886
191,13555,de:05315:13555,Am Lindenweg,K?ln,M?ngersdorf,2560663,5646562
192,13556,de:05315:13556,Flachsweg,K?ln,M?ngersdorf,2560517,5645997
193,13557,de:05315:13557,Leinsamenweg,K?ln,M?ngersdorf,2560019,5645917
194,13558,de:05315:13558,Roggenweg,K?ln,M?ngersdorf,2559781,5646196
195,13560,de:05315:13560,Vitalisstr. S?d,K?ln,M?ngersdorf,2562043,5645687
196,13561,de:05315:13561,Widdersdorfer Str.,K?ln,M?ngersdorf,2562267,5646075
197,13562,de:05315:13562,Technologiepark K?ln,K?ln,M?ngersdorf,2562649,5646101
198,13571,de:05315:13571,Schwindstr.,K?ln,M?ngersdorf,2560596,5645422
199,13572,de:05315:13572,B?cklinstr.,K?ln,M?ngersdorf,2560396,5645483
200,13611,de:05315:13611,Junkersdorf,K?ln,Junkersdorf,2561082,5645069
201,12742,de:05315:12742,S?rther Str.,K?ln,Rodenkirchen,2570787,5637691
202,12743,de:05315:12743,Eygelshovener Str.,K?ln,Rodenkirchen,2571204,5638590
203,13654,de:05315:13654,Birkenallee,K?ln,Junkersdorf,2560534,5644646
204,13655,de:05315:13655,K?lner Weg,K?ln,Junkersdorf,2560325,5644375
205,13656,de:05315:13656,Sterrenhofweg,K?ln,Junkersdorf,2560138,5644000
206,13657,de:05315:13657,Beethovenstr.,K?ln,Junkersdorf,2559982,5644154
207,13661,de:05315:13661,S?dallee,K?ln,Junkersdorf,2560783,5644269
209,13663,de:05315:13663,Wiener Weg,K?ln,Junkersdorf,2560876,5643875
211,13671,de:05315:13671,Egelspfad,K?ln,Junkersdorf,2560048,5645559
212,13701,de:05315:13701,Bf L?venich,K?ln,L?venich,2558708,5645623
213,13752,de:05315:13752,Seith?merstr.,K?ln,L?venich,2558540,5646007
214,13753,de:05315:13753,Dieselstr.,K?ln,L?venich,2559197,5646104
215,13755,de:05315:13755,Zaunstr.,K?ln,L?venich,2558367,5646088
216,13756,de:05315:13756,An der Ronne,K?ln,L?venich,2558278,5646497
217,13757,de:05315:13757,Spitzangerweg,K?ln,L?venich,2558159,5646131
218,13758,de:05315:13758,Saarstr.,K?ln,L?venich,2557770,5645742
219,13759,de:05315:13759,Severinusstr.,K?ln,L?venich,2558028,5645611
220,13760,de:05315:13760,Braugasse,K?ln,L?venich,2558363,5645769
221,13761,de:05315:13761,Selma-Lagerl?f-Str.,K?ln,Weiden,2558281,5645500
222,13762,de:05315:13762,Frechener Weg,K?ln,Weiden,2558148,5645195
223,13763,de:05315:13763,?sdorf,K?ln,Weiden,2558159,5644751
224,13765,de:05315:13765,Weiden Sportplatz,K?ln,Weiden,2559158,5645559
225,13766,de:05315:13766,Stormstr.,K?ln,Weiden,2559449,5645536
226,12744,de:05315:12744,S?rther Feldallee,K?ln,Rodenkirchen,2571176,5638047
227,13771,de:05315:13771,Ostlandstr.,K?ln,Weiden,2558597,5644820
228,17614,de:05315:17614,Rosenh?gel,K?ln,Z?ndorf,2574655,5638182
229,13773,de:05315:13773,Diepenbeekallee,K?ln,Weiden,2559506,5644793
230,13851,de:05315:13851,Im Buschfelde,K?ln,Widdersdorf,2558923,5648365
231,13852,de:05315:13852,Widdersdorf,K?ln,Widdersdorf,2558654,5648229
232,13853,de:05315:13853,Adrian-Meller-Str.,K?ln,Widdersdorf,2558372,5647940
233,13854,de:05315:13854,Blaugasse,K?ln,Widdersdorf,2558386,5647696
234,13911,de:05315:13911,St?ttgenhof,K?ln,Marsdorf,2561684,5643112
235,13912,de:05315:13912,Marsdorf,K?ln,Marsdorf,2560395,5642818
236,14011,de:05315:14011,Piusstr.,K?ln,Ehrenfeld,2565106,5646048
237,14012,de:05315:14012,K?rnerstr.,K?ln,Ehrenfeld,2564718,5646299
238,14021,de:05315:14021,Gutenbergstr.,K?ln,Ehrenfeld,2565275,5646536
239,14022,de:05315:14022,Liebigstr.,K?ln,Ehrenfeld,2564982,5646750
240,54241,de:05382:54241,L?lsdorf Uhlandstr.,Niederkassel,L?lsdorf,2571290,5633549
241,13709,de:05315:13709,Weiden Schulstr.,K?ln,Weiden,2558290,5645120
242,14612,de:05315:14612,Schaffrathsgasse,K?ln,Bocklem?nd,2561164,5648842
243,18050,de:05315:18050,Walter-Pauli-Ring,K?ln,Kalk,2569969,5645132
244,13666,de:05315:13666,Willi-Lauf-Allee,K?ln,Junkersdorf,2560575,5643754
245,14111,de:05315:14111,Subbelrather Str./G?rtel,K?ln,Neuehrenfeld,2564774,5647009
246,14112,de:05315:14112,Nu?baumerstr.,K?ln,Neuehrenfeld,2564936,5647270
247,14113,de:05315:14113,Lenauplatz,K?ln,Neuehrenfeld,2564564,5647439
248,12745,de:05315:12745,Heinrich-Erpenbach-Str.,K?ln,S?rth,2570884,5637563
249,14115,de:05315:14115,Iltisstr.,K?ln,Neuehrenfeld,2564112,5648174
250,14151,de:05315:14151,Butzweilerstr.,K?ln,Neuehrenfeld,2564416,5648575
251,14211,de:05315:14211,Venloer Str./G?rtel,K?ln,Ehrenfeld,2564462,5646504
252,13665,de:05315:13665,Eichenstr.,K?ln,Junkersdorf,2561111,5643894
253,14097,de:05315:14097,Geisselstr.,K?ln,Ehrenfeld,2564462,5645757
254,14221,de:05315:14221,Weinsbergstr./G?rtel,K?ln,Ehrenfeld,2564189,5645939
255,14212,de:05315:14212,Leyendeckerstr.,K?ln,Ehrenfeld,2563981,5646972
256,14251,de:05315:14251,Borsigstr.,K?ln,Ehrenfeld,2563635,5647444
257,11950,de:05315:11950,Bf Deutz/Messeplatz,K?ln,Deutz,2568443,5645634
258,14260,de:05315:14260,Oskar-J?ger-Str.,K?ln,Ehrenfeld,2563781,5645960
259,14261,de:05315:14261,Karnevalsmuseum,K?ln,Ehrenfeld,2563159,5646024
260,14263,de:05315:14263,Vogelsanger Str./Maarweg,K?ln,Ehrenfeld,2563243,5646806
261,13708,de:05315:13708,Weiden Zentrum,K?ln,Weiden,2558738,5645109
262,14310,de:05315:14310,?u?ere Kanalstr.,K?ln,Bickendorf,2563419,5647257
263,18492,de:05315:18492,Alter Deutzer Postweg,K?ln,Ostheim,2573873,5643173
264,14312,de:05315:14312,Akazienweg,K?ln,Bickendorf,2562761,5647715
265,14351,de:05315:14351,Vogelsanger Str.,K?ln,Bickendorf,2562726,5647155
266,14352,de:05315:14352,H?uschensweg,K?ln,Bickendorf,2563376,5647696
267,14353,de:05315:14353,Feltenstr.,K?ln,Bickendorf,2563291,5647909
268,14354,de:05315:14354,Emilstr.,K?ln,Bickendorf,2563116,5648293
269,14355,de:05315:14355,Erlenweg,K?ln,Bickendorf,2562949,5648503
270,14459,de:05315:14459,M?hlenweg,K?ln,Ossendorf,2562635,5648740
271,14450,de:05315:14450,Ossendorf,K?ln,Ossendorf,2563568,5649466
272,14412,de:05315:14412,Rektor-Klein-Str.,K?ln,Ossendorf,2563582,5649166
273,14413,de:05315:14413,Margaretastr.,K?ln,Ossendorf,2563650,5648504
274,14416,de:05315:14416,Alter Flughafen Butzweilerhof,K?ln,Ossendorf,2563072,5649539
275,14452,de:05315:14452,Hugo-Eckener-Str.,K?ln,Ossendorf,2562614,5649529
276,14453,de:05315:14453,Bleriotstr.,K?ln,Ossendorf,2562615,5649153
277,14454,de:05315:14454,Von-H?nefeld-Str.,K?ln,Ossendorf,2562227,5649496
278,14455,de:05315:14455,Mathias-Br?ggen-Str.,K?ln,Ossendorf,2562194,5650121
280,54231,de:05382:54231,L?lsdorf Nord,Niederkassel,L?lsdorf,2571172,5633926
281,54237,de:05382:54237,L?lsdorf Schulzentrum,Niederkassel,L?lsdorf,2572323,5633509
282,14511,de:05315:14511,Wolffsohnstr.,K?ln,Vogelsang,2562183,5648143
283,14512,de:05315:14512,Westfriedhof,K?ln,Vogelsang,2561753,5648394
284,19464,de:05315:19464,Lacher Broch,K?ln,Holweide,2573185,5647537
285,14551,de:05315:14551,Kolkrabenweg,K?ln,Vogelsang,2561808,5648077
286,14552,de:05315:14552,Steinkauzweg,K?ln,Vogelsang,2561520,5647941
287,14553,de:05315:14553,Bachstelzenweg,K?ln,Vogelsang,2561321,5647690
288,14554,de:05315:14554,Goldammerweg,K?ln,Vogelsang,2561406,5647337
289,14555,de:05315:14555,Vogelsanger Markt,K?ln,Vogelsang,2561978,5647080
290,14556,de:05315:14556,Falkenweg,K?ln,Vogelsang,2562229,5647074
291,14611,de:05315:14611,Bocklem?nd,K?ln,Bocklem?nd,2561353,5648603
292,14651,de:05315:14651,WDR,K?ln,Bocklem?nd,2560231,5648659
293,14661,de:05315:14661,Grevenbroicher Str.,K?ln,Bocklem?nd,2560864,5648978
294,14662,de:05315:14662,Nattermannallee,K?ln,Bocklem?nd,2560475,5649471
295,14663,de:05315:14663,Dohmengasse,K?ln,Bocklem?nd,2560283,5649839
296,19465,de:05315:19465,Kochwiesenstr.,K?ln,Holweide,2573791,5648125
297,14665,de:05315:14665,Auweilerweg,K?ln,Bocklem?nd,2560343,5650548
298,14671,de:05315:14671,Ollenhauerring,K?ln,Bocklem?nd,2561230,5649329
299,14672,de:05315:14672,N?ssenberger Str.,K?ln,Bocklem?nd,2560794,5649437
300,14673,de:05315:14673,B?rnestr.,K?ln,Bocklem?nd,2560806,5649764
301,14674,de:05315:14674,Heinrich-Mann-Str.,K?ln,Bocklem?nd,2560800,5650147
302,14664,de:05315:14664,Buschweg,K?ln,Bocklem?nd,2560448,5650294
303,15011,de:05315:15011,Neusser Str./G?rtel,K?ln,Nippes,2566865,5649000
304,15012,de:05315:15012,Florastr.,K?ln,Nippes,2567034,5648191
305,15013,de:05315:15013,Lohsestr.,K?ln,Nippes,2567159,5647420
306,15051,de:05315:15051,Nordstr.,K?ln,Nippes,2566989,5648500
307,15052,de:05315:15052,Leipziger Platz,K?ln,Nippes,2567180,5648353
308,15053,de:05315:15053,Niehler Str.,K?ln,Nippes,2567399,5648475
309,15054,de:05315:15054,Kretzerstr.,K?ln,Nippes,2567726,5648417
310,15350,de:05315:15350,Bergstr.,K?LN,Mauenheim,2566507,5649125
311,15062,de:05315:15062,Sechzigstr.,K?ln,Nippes,2566422,5647428
312,15063,de:05315:15063,Merheimer Platz,K?ln,Nippes,2566781,5647396
313,15111,de:05315:15111,Zoo/Flora,K?ln,Riehl,2568427,5647357
314,15112,de:05315:15112,Boltensternstr.,K?ln,Riehl,2568958,5647922
315,15113,de:05315:15113,Slabystr.,K?ln,Riehl,2569456,5648395
316,15120,de:05315:15120,Kinderkrankenhaus,K?ln,Riehl,2568075,5648003
317,15121,de:05315:15121,Amsterdamer Str./G?rtel,K?ln,Riehl,2568114,5648851
318,15151,de:05315:15151,Bodinusstr.,K?ln,Riehl,2568459,5647812
319,15152,de:05315:15152,Riehler G?rtel,K?ln,Riehl,2568650,5648169
320,15153,de:05315:15153,Seniorenzentrum Riehl,K?ln,Riehl,2568847,5648514
321,18491,de:05315:18491,Kleingartenanlage Ostheim,K?ln,Ostheim,2572624,5643520
322,54238,de:05382:54238,Ranzel Gewerbegebiet,Niederkassel,Ranzel,2572403,5633267
323,15156,de:05315:15156,Xantener Str.,K?ln,Riehl,2568091,5648333
325,15201,de:05315:15201,Geldernstr./Parkg?rtel,K?ln,Bilderst?ckchen,2566160,5648562
326,15222,de:05315:15222,Escher Str.,K?ln,Bilderst?ckchen,2565642,5648121
327,15251,de:05315:15251,Nievenheimer Str.,K?ln,Bilderst?ckchen,2566101,5647923
328,15252,de:05315:15252,Ludwigsburger Str.,K?ln,Bilderst?ckchen,2566087,5648250
329,15253,de:05315:15253,Frankenthaler Str.,K?ln,Bilderst?ckchen,2565805,5648613
